Product,BulkID,LotID,WaferID,Time,SortNo,Tester,TP,0_PASS,1_VDFO,2_CHN1_BS
SCP117A,T0N427,T0N427.00,1,2025/9/16,CP,T2K62,10.01,47.7,0.74,21.6
SCP117A,T0N427,T0N427.00,2,2025/9/16,CP,T2K62,10.01,50,1.5,30
SCP117A,T0N427,T0N427.00,3,2025/9/16,CP,T2K62,10.01,51,0.74,31.2
SCP117A,T0N427,T0N427.00,4,2025/9/16,CP,T2K62,10.01,48,0.74,30.6
SCP117A,T0N427,T0N427.00,5,2025/9/16,CP,T2K62,10.01,48,1.5,20.1
SCP117A,T0N427,T0N427.00,6,2025/9/16,CP,T2K62,10.01,47.7,0.74,19.6
SCP117A,T0N430,T0N430.00,1,2025/9/19,CP,T2K62,10.01,49.2,0.8,22.3
SCP117A,T0N430,T0N430.00,2,2025/9/19,CP,T2K62,10.01,48.5,1.2,28.1
SCP117A,T0N430,T0N430.00,3,2025/9/19,CP,T2K62,10.01,50.3,0.9,29.5
